1971;The Oregon Trail;Strategy;MECC;HP 2100;
1972;Pong;Sports;Atari;Arcade;
1977;Zork;Adventure;Infocom;PDP-10;
1978;Space Invaders;Shoot 'em up;Taito;Arcade;
1979;Asteroids;Shoot 'em up;Atari;Arcade;
1980;Adventure;Action-adventure;Atari;Atari 2600;
1980;Missile Command;Shoot 'em up;Atari;Arcade;
1980;Pac-Man;Maze;Namco;Arcade;
1981;Centipede;Shoot 'em up;Atari;Arcade;
1981;Defender;Shoot 'em up;Williams Entertainment;Arcade;
1981;Donkey Kong;Platform;Nintendo;Arcade;
1981;Frogger;Action;Konami/Sega;Arcade;
1981;Galaga;Shoot 'em up;Namco;Arcade;
1981;Tempest;Shoot 'em up;Atari;Arcade;
1982;Joust;Action;Williams Entertainment;Arcade;
1982;Ms. Pac-Man;Maze;Midway;Arcade;
1982;Pitfall!;Platform;Activision;Atari 2600;
1982;Robotron: 2084;Top-down shooter;Williams Entertainment;Arcade;
1983;Lode Runner;Platform;Broderbund;Apple II;
1983;M.U.L.E.;Business simulation;Electronic Arts;Atari 8-bit family;
1983;Star Wars;Shoot 'em up;Atari;Arcade;
1984;Elite;Space flight simulator;Acornsoft;BBC Micro;
1984;Marble Madness;Action;Atari Games;Arcade;
1984;Tetris;Puzzle;Elorg;Electronika 60;
1985;Gauntlet;Action role-playing;Atari Games;Arcade;
1985;Ghosts 'n Goblins;Platform;Capcom;Arcade;
1985;Super Mario Bros.;Platform;Nintendo;NES;
1986;Bubble Bobble;Platform;Taito;Arcade;
1986;The Legend of Zelda;Action-adventure;Nintendo;NES;
1986;Out Run;Racing;Sega;Arcade;
1987;Contra;Run and gun;Konami;Arcade;
1987;Double Dragon;Beat 'em up;Technos Japan;Arcade;
1987;Mike Tyson's Punch-Out!!;Sports;Nintendo;NES;
1987;R-Type;Shoot 'em up;Irem;Arcade;
1988;Mega Man 2;Platform;Capcom;NES;
1988;Ninja Gaiden;Platform;Tecmo;NES;
1988;Super Mario Bros. 3;Platform;Nintendo;NES;
1989;Final Fight;Beat 'em up;Capcom;Arcade;
1989;Populous;God game;Electronic Arts;Amiga;
1989;Prince of Persia;Platform;Broderbund;Apple II;
1989;SimCity;City-building;Maxis;Amiga, Macintosh;
1990;The Secret of Monkey Island;Adventure;LucasArts;PC;
1990;Speedball 2: Brutal Deluxe;Sports;Image Works;Atari ST;
1990;Super Mario World;Platform;Nintendo;Super NES;
1990;Wing Commander;Space flight simulator;Origin Systems;PC;
1991;Another World;Platform;Delphine Software;Amiga, Atari ST;
1991;Civilization;Turn-based strategy;MicroProse;PC;
1991;The Legend of Zelda: A Link to the Past;Action-adventure;Nintendo;Super NES;
1991;Lemmings;Puzzle;Psygnosis;Amiga;
1991;Monkey Island 2: LeChuck's Revenge;Adventure;LucasArts;PC;
1991;Sonic the Hedgehog;Platform;Sega;Sega Genesis;
1991;Street Fighter II;Fighting;Capcom;Arcade;
1992;Contra III: The Alien Wars;Run and gun;Konami;Super NES;
1992;Dune II;Real-time strategy;Virgin Games;PC;
1992;Flashback;Platform;Delphine Software;Amiga;
1992;Mortal Kombat;Fighting;Midway;Arcade;
1992;Sonic the Hedgehog 2;Platform;Sega;Sega Genesis;
1992;Star Control II;Action-adventure;Accolade;PC;
1992;Streets of Rage 2;Beat 'em up;Sega;Sega Genesis;
1992;Super Mario Kart;Kart racing;Nintendo;Super NES;
1992;Virtua Racing;Racing;Sega;Arcade;
1992;Wolfenstein 3D;First-person shooter;Apogee Software;PC;
1993;Day of the Tentacle;Adventure;LucasArts;PC;
