azon;nev;hossz;melyseg;telepules;vedettseg
1;Abaligeti-barlang;1893;10;Abaliget;fokozottan védett
2;Acheron-kútbarlang;215;0;Cserszegtomaj;fokozottan védett
3;Achilles-víznyelőbarlang;140;28;Orfű;megkülönböztetetten védett
4;Ajándék-barlang;3140;184;Esztergom;fokozottan védett
5;Alba Regia-barlang;3600;200;Isztimér;fokozottan védett
6;Almási-zsomboly;358;100;Bódvaszilas;fokozottan védett
7;Amazonok-barlangja;141;12;Pomáz;megkülönböztetetten védett
8;Amfiteátrum-barlang;294;76;Üröm;fokozottan védett
9;Anna-barlang;445;4;Miskolc III.Kerület;fokozottan védett
10;Avaros-barlang;390;53;Kesztölc;védett
11;B-3-as víznyelőbarlang;388;53;Ajka;védett
12;Babál-barlang;238;9;Sárisáp;megkülönböztetetten védett
13;Bába-völgyi 3.sz. víznyelőbarlang;107;11;Bódvaszilas;megkülönböztetetten védett
14;Baglyas 1. sz. víznyelőbarlang;153;23;Nagyvázsony;megkülönböztetetten védett
15;Balekina-barlang;600;90;Miskolc III.Kerület;fokozottan védett
16;Balla-barlang;128;1;Répáshuta;fokozottan védett
17;Banán-zsomboly;108;45;Bódvaszilas;megkülönböztetetten védett
18;Bányász-barlang;959;303;Miskolc III.Kerület;fokozottan védett
19;Baradla Hosszú-Alsó-barlang;235;12;Jósvafő;megkülönböztetetten védett
20;Baradla Rövid-Alsó-barlang;1000;20;Jósvafő;megkülönböztetetten védett
21;Baradla-barlang;22000;86;Jósvafő;fokozottan védett
22;Baradla-tetői-zsomboly;387;87;Aggtelek;fokozottan védett
23;Barit-barlang;215;9;Budapest III. Ker.;megkülönböztetetten védett
24;Bátori-barlang;360;50;Budapest II. Ker.;fokozottan védett
25;Béke-barlang;5884;71;Aggtelek;fokozottan védett
26;Bekey-barlang;173;39;Budapest II. Ker.;megkülönböztetetten védett
27;Beremendi-kristálybarlang;850;38;Beremend;fokozottan védett
28;Bodzás-oldali 2. sz. zsomboly;400;56;Miskolc III.Kerület;megkülönböztetetten védett
29;Bongó-zsomboly;136;35;Bakonynána;fokozottan védett
30;Borókás-tebri 1. sz. víznyelőbarlang;105;42;Miskolc III.Kerület;megkülönböztetetten védett
31;Borókás-tebri 2. sz. víznyelőbarlang;503;95;Miskolc III.Kerület;fokozottan védett
32;Borókás-tebri 4. sz. víznyelőbarlang;546;121;Miskolc III.Kerület;fokozottan védett
33;Bronz-barlang;116;27;Nagykovácsi;megkülönböztetetten védett
34;Bronzika-barlang;350;24;Miskolc III.Kerület;fokozottan védett
35;Buda-barlang;217;69;Budapest II. Ker.;megkülönböztetetten védett
36;Budai Vár-barlang;3300;15;Budapest I. Ker.;fokozottan védett
37;Budakalászi 2. sz. barlang;109;7;Budakalász;védett
38;Bújó-lik;208;39;Ajka;megkülönböztetetten védett
39;Bükkös-víznyelőbarlang;239;46;Miskolc III.Kerület;megkülönböztetetten védett
40;Cubákos-víznyelőbarlang;380;39;Miskolc III.Kerület;megkülönböztetetten védett
41;Csák-kői nagy-barlang;133;0;Gyöngyössolymos;védett
42;Csemetekerti-víznyelőbarlang;204;21;Miskolc III.Kerület;megkülönböztetetten védett
43;Csengő-zsomboly;283;26;Szendrő;megkülönböztetetten védett
44;Csengő-zsomboly;210;133;Olaszfalu;fokozottan védett
45;Cserszegtomaji-kútbarlang;3299;10;Cserszegtomaj;fokozottan védett
46;Csévi-barlang;104;0;Piliscsév;megkülönböztetetten védett
47;Csipkés-zsomboly;180;71;Tés;megkülönböztetetten védett
48;Csodabogyós-barlang;6300;142;Balatonederics;fokozottan védett
49;Csókási Sajt-barlang;294;26;Parasznya;megkülönböztetetten védett
50;Csókási-barlang;148;13;Parasznya;megkülönböztetetten védett
51;Csókás-réti-víznyelőbarlang;207;16;Parasznya;megkülönböztetetten védett
52;Csókavári-barlang;285;65;Üröm;megkülönböztetetten védett
53;Csörgő-forrásbarlang;120;0;Szögliget;megkülönböztetetten védett
54;Csörgő-lyuk;428;29;Mátraszentimre;fokozottan védett
55;Csúnya-völgyi Baka-barlang;210;16;Répáshuta;megkülönböztetetten védett
56;Danca-barlang;1390;0;Égerszög;fokozottan védett
57;Diabáz-barlang;802;159;Miskolc III. Kerület;fokozottan védett
58;Dinó-rejtek;843;115;Csobánka;védett
59;Diós-pataki 2. sz. víznyelő;362;26;Bükkszentkereszt;védett
60;Döbbenet-barlang;102;50;Baj;megkülönböztetetten védett
61;Döme-barlang;353;107;Balatonederics;fokozottan védett
62;Egér-lyuk;103;0;Szögliget;védett
63;Eötvös Loránd-cseppkőbarlang;256;30;Szinpetri;megkülönböztetetten védett
