INSERT INTO `hnk` (`ID`,`helyseg`, `jogallas`, `megye`, `jaras`, `terulet`, `nepesseg`, `lakas`) VALUES
('1', 'Aba', 'város', 'Fejér', 'Székesfehérvári', 8805, 4434, 1559),
('2', 'Abádszalók', 'város', 'Jász-Nagykun-Szolnok', 'Kunhegyesi', '13223', '4055', '2038'),
('3', 'Abaliget', 'község', 'Baranya', 'Pécsi', '1609', '641', '244'),
('4', 'Abasár', 'község', 'Heves', 'Gyöngyösi', '2082', '2610', '1191'),
('5', 'Abaújalpár', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '848', '51', '59'),
('6', 'Abaújkér', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '1727', '574', '291'),
('7', 'Abaújlak', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '706', '54', '81'),
('8', 'Abaújszántó', 'város', 'Borsod-Abaúj-Zemplén', 'Gönci', '4739', '2792', '1201'),
('9', 'Abaújszolnok', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '867', '189', '59'),
('10', 'Abaújvár', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '735', '241', '140'),
('11', 'Abda', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '1902', '3269', '1226'),
('12', 'Abod', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '3116', '141', '137'),
('13', 'Abony', 'város', 'Pest', 'Ceglédi', '12797', '14312', '6026'),
('14', 'Ábrahámhegy', 'község', 'Veszprém', 'Tapolcai', '1489', '556', '333'),
('15', 'Ács', 'város', 'Komárom-Esztergom', 'Komáromi', '10384', '6942', '2741'),
('16', 'Acsa', 'község', 'Pest', 'Váci', '2694', '1382', '480'),
('17', 'Acsád', 'község', 'Vas', 'Szombathelyi', '1434', '645', '184'),
('18', 'Acsalag', 'község', 'Gyõr-Moson-Sopron', 'Csornai', '1042', '482', '219'),
('19', 'Ácsteszér', 'község', 'Komárom-Esztergom', 'Kisbéri', '1771', '728', '277'),
('20', 'Adács', 'község', 'Heves', 'Gyöngyösi', '3794', '2664', '1225'),
('21', 'Ádánd', 'község', 'Somogy', 'Siófoki', '2952', '2109', '851'),
('22', 'Adásztevel', 'község', 'Veszprém', 'Pápai', '837', '779', '315'),
('23', 'Adony', 'város', 'Fejér', 'Dunaújvárosi', '6105', '4140', '1573'),
('24', 'Adorjánháza', 'község', 'Veszprém', 'Devecseri', '1142', '327', '195'),
('25', 'Adorjás', 'község', 'Baranya', 'Sellyei', '810', '148', '62'),
('26', 'Ág', 'község', 'Baranya', 'Hegyháti', '1203', '167', '65'),
('27', 'Ágasegyháza', 'község', 'Bács-Kiskun', 'Kecskeméti', '5587', '1917', '867'),
('28', 'Ágfalva', 'község', 'Gyõr-Moson-Sopron', 'Soproni', '1308', '2417', '823'),
('29', 'Aggtelek', 'község', 'Borsod-Abaúj-Zemplén', 'Putnoki', '4382', '495', '241'),
('30', 'Agyagosszergény', 'község', 'Gyõr-Moson-Sopron', 'Kapuvári', '1988', '1010', '389'),
('31', 'Ajak', 'város', 'Szabolcs-Szatmár-Bereg', 'Kisvárdai', '2476', '3396', '1334'),
('32', 'Ajka', 'város', 'Veszprém', 'Ajkai', '9505', '26720', '12658'),
('33', 'Aka', 'község', 'Komárom-Esztergom', 'Kisbéri', '1809', '247', '109'),
('34', 'Akasztó', 'község', 'Bács-Kiskun', 'Kiskõrösi', '6488', '3228', '1559'),
('35', 'Alacska', 'község', 'Borsod-Abaúj-Zemplén', 'Kazincbarcikai', '856', '692', '281'),
('36', 'Alap', 'község', 'Fejér', 'Sárbogárdi', '4829', '1848', '880'),
('37', 'Alattyán', 'község', 'Jász-Nagykun-Szolnok', 'Jászapáti', '3429', '2099', '909'),
('38', 'Albertirsa', 'város', 'Pest', 'Ceglédi', '7300', '13518', '5169'),
('39', 'Alcsútdoboz', 'község', 'Fejér', 'Bicskei', '5071', '1498', '589'),
('40', 'Aldebrõ', 'község', 'Heves', 'Füzesabonyi', '2178', '713', '342'),
('41', 'Algyõ', 'nagyközség', 'Csongrád-Csanád', 'Szegedi', '7577', '5336', '2132'),
('42', 'Alibánfa', 'község', 'Zala', 'Zalaegerszegi', '584', '392', '166'),
('43', 'Almamellék', 'község', 'Baranya', 'Szigetvári', '4433', '389', '154'),
('44', 'Almásfüzitõ', 'község', 'Komárom-Esztergom', 'Komáromi', '818', '2120', '1126'),
('45', 'Almásháza', 'község', 'Zala', 'Zalaegerszegi', '498', '77', '24'),
('46', 'Almáskamarás', 'község', 'Békés', 'Mezõkovácsházai', '1471', '741', '450'),
('47', 'Almáskeresztúr', 'község', 'Baranya', 'Szigetvári', '1303', '92', '51'),
('48', 'Álmosd', 'község', 'Hajdú-Bihar', 'Nyíradonyi', '3413', '1644', '700'),
('49', 'Alsóberecki', 'község', 'Borsod-Abaúj-Zemplén', 'Sátoraljaújhelyi', '686', '675', '283'),
('50', 'Alsóbogát', 'község', 'Somogy', 'Kaposvári', '1201', '211', '88'),
('51', 'Alsódobsza', 'község', 'Borsod-Abaúj-Zemplén', 'Szerencsi', '1068', '277', '151'),
('52', 'Alsógagy', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '628', '66', '55'),
('53', 'Alsómocsolád', 'község', 'Baranya', 'Hegyháti', '1300', '276', '140'),
('54', 'Alsónána', 'község', 'Tolna', 'Szekszárdi', '1314', '674', '282'),
('55', 'Alsónémedi', 'nagyközség', 'Pest', 'Gyáli', '4907', '5597', '2187'),
('56', 'Alsónemesapáti', 'község', 'Zala', 'Zalaegerszegi', '1451', '656', '273'),
('57', 'Alsónyék', 'község', 'Tolna', 'Szekszárdi', '3201', '682', '302'),
('58', 'Alsóörs', 'község', 'Veszprém', 'Balatonfüredi', '3334', '2093', '873'),
('59', 'Alsópáhok', 'község', 'Zala', 'Keszthelyi', '1802', '1504', '671'),
('60', 'Alsópetény', 'község', 'Nógrád', 'Rétsági', '1968', '585', '301'),
('61', 'Alsórajk', 'község', 'Zala', 'Nagykanizsai', '845', '352', '169'),
('62', 'Alsóregmec', 'község', 'Borsod-Abaúj-Zemplén', 'Sátoraljaújhelyi', '1540', '197', '87'),
('63', 'Alsószenterzsébet', 'község', 'Zala', 'Lenti', '963', '22', '38'),
('64', 'Alsószentiván', 'község', 'Fejér', 'Sárbogárdi', '3965', '599', '285'),
('65', 'Alsószentmárton', 'község', 'Baranya', 'Siklósi', '1361', '1196', '296'),
('66', 'Alsószölnök', 'község', 'Vas', 'Szentgotthárdi', '1002', '335', '167'),
('67', 'Alsószuha', 'község', 'Borsod-Abaúj-Zemplén', 'Putnoki', '2242', '415', '172'),
('68', 'Alsótelekes', 'község', 'Borsod-Abaúj-Zemplén', 'Kazincbarcikai', '644', '127', '92'),
('69', 'Alsótold', 'község', 'Nógrád', 'Pásztói', '786', '233', '111'),
('70', 'Alsóújlak', 'község', 'Vas', 'Vasvári', '2102', '598', '289'),
('71', 'Alsóvadász', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '2290', '1495', '446'),
('72', 'Alsózsolca', 'város', 'Borsod-Abaúj-Zemplén', 'Miskolci', '2602', '5536', '1840'),
('73', 'Ambrózfalva', 'község', 'Csongrád-Csanád', 'Makói', '1122', '435', '234'),
('74', 'Anarcs', 'község', 'Szabolcs-Szatmár-Bereg', 'Kisvárdai', '1706', '1931', '655'),
('75', 'Andocs', 'község', 'Somogy', 'Tabi', '4327', '1008', '468'),
('76', 'Andornaktálya', 'község', 'Heves', 'Egri', '1675', '2621', '1078'),
('77', 'Andrásfa', 'község', 'Vas', 'Vasvári', '823', '228', '134'),
('78', 'Annavölgy', 'község', 'Komárom-Esztergom', 'Esztergomi', '483', '912', '399'),
('79', 'Apácatorna', 'község', 'Veszprém', 'Devecseri', '729', '157', '84'),
('80', 'Apagy', 'község', 'Szabolcs-Szatmár-Bereg', 'Nyíregyházi', '3199', '2257', '883'),
('81', 'Apaj', 'község', 'Pest', 'Ráckevei', '7104', '1128', '433'),
('82', 'Aparhant', 'község', 'Tolna', 'Bonyhádi', '1797', '930', '385'),
('83', 'Apátfalva', 'község', 'Csongrád-Csanád', 'Makói', '5384', '2784', '1529'),
('84', 'Apátistvánfalva', 'község', 'Vas', 'Szentgotthárdi', '1286', '394', '167'),
('85', 'Apátvarasd', 'község', 'Baranya', 'Pécsváradi', '814', '94', '38'),
('86', 'Apc', 'község', 'Heves', 'Hatvani', '2046', '2492', '1101'),
('87', 'Áporka', 'község', 'Pest', 'Ráckevei', '1747', '1202', '508'),
('88', 'Apostag', 'község', 'Bács-Kiskun', 'Kunszentmiklósi', '3194', '2066', '967'),
('89', 'Aranyosapáti', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '2112', '2018', '674'),
('90', 'Aranyosgadány', 'község', 'Baranya', 'Pécsi', '826', '339', '138'),
('91', 'Arka', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '949', '42', '67'),
('92', 'Arló', 'nagyközség', 'Borsod-Abaúj-Zemplén', 'Ózdi', '4687', '3427', '1117'),
('93', 'Arnót', 'község', 'Borsod-Abaúj-Zemplén', 'Miskolci', '1754', '2288', '826'),
('94', 'Ároktõ', 'község', 'Borsod-Abaúj-Zemplén', 'Mezõcsáti', '4641', '1026', '478'),
('95', 'Árpádhalom', 'község', 'Csongrád-Csanád', 'Szentesi', '4520', '442', '241'),
('96', 'Árpás', 'község', 'Gyõr-Moson-Sopron', 'Téti', '1426', '246', '130'),
('97', 'Ártánd', 'község', 'Hajdú-Bihar', 'Berettyóújfalui', '1981', '599', '249'),
('98', 'Ásotthalom', 'nagyközség', 'Csongrád-Csanád', 'Mórahalmi', '12254', '3775', '1937'),
('99', 'Ásványráró', 'község', 'Gyõr-Moson-Sopron', 'Mosonmagyaróvári', '3911', '2126', '831'),
('100', 'Aszaló', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '2536', '1854', '637'),
('101', 'Ászár', 'község', 'Komárom-Esztergom', 'Kisbéri', '1868', '1700', '675'),
('102', 'Aszód', 'város', 'Pest', 'Aszódi', '1620', '6233', '2595'),
('103', 'Aszófõ', 'község', 'Veszprém', 'Balatonfüredi', '832', '422', '207'),
('104', 'Áta', 'község', 'Baranya', 'Pécsi', '809', '155', '89'),
('105', 'Átány', 'község', 'Heves', 'Hevesi', '5044', '1437', '579'),
('106', 'Atkár', 'község', 'Heves', 'Gyöngyösi', '3376', '1725', '733'),
('107', 'Attala', 'község', 'Tolna', 'Dombóvári', '2064', '728', '363'),
('108', 'Babarc', 'község', 'Baranya', 'Bólyi', '1885', '726', '315'),
('109', 'Babarcszõlõs', 'község', 'Baranya', 'Siklósi', '425', '83', '61'),
('110', 'Babócsa', 'község', 'Somogy', 'Barcsi', '3099', '1442', '700'),
('111', 'Bábolna', 'város', 'Komárom-Esztergom', 'Komáromi', '3354', '3733', '1412'),
('112', 'Bábonymegyer', 'község', 'Somogy', 'Tabi', '2193', '804', '362'),
('113', 'Babosdöbréte', 'község', 'Zala', 'Zalaegerszegi', '1252', '480', '229'),
('114', 'Babót', 'község', 'Gyõr-Moson-Sopron', 'Kapuvári', '2167', '1148', '486'),
('115', 'Bácsalmás', 'város', 'Bács-Kiskun', 'Bácsalmási', '10829', '6272', '3132'),
('116', 'Bácsbokod', 'nagyközség', 'Bács-Kiskun', 'Bácsalmási', '6393', '2286', '1218'),
('117', 'Bácsborsód', 'község', 'Bács-Kiskun', 'Bácsalmási', '7752', '1035', '415'),
('118', 'Bácsszentgyörgy', 'község', 'Bács-Kiskun', 'Bajai', '1474', '128', '95'),
('119', 'Bácsszõlõs', 'község', 'Bács-Kiskun', 'Bácsalmási', '3883', '337', '225'),
('120', 'Badacsonytomaj', 'város', 'Veszprém', 'Tapolcai', '3270', '2202', '1128'),
('121', 'Badacsonytördemic', 'község', 'Veszprém', 'Tapolcai', '1025', '882', '462'),
('122', 'Bag', 'nagyközség', 'Pest', 'Aszódi', '2355', '3767', '1347'),
('123', 'Bagamér', 'nagyközség', 'Hajdú-Bihar', 'Nyíradonyi', '4702', '2374', '971'),
('124', 'Baglad', 'község', 'Zala', 'Lenti', '486', '22', '41'),
('125', 'Bagod', 'község', 'Zala', 'Zalaegerszegi', '1637', '1217', '472'),
('126', 'Bágyogszovát', 'község', 'Gyõr-Moson-Sopron', 'Csornai', '2406', '1328', '554'),
('127', 'Baj', 'község', 'Komárom-Esztergom', 'Tatai', '2112', '2852', '1087'),
('128', 'Baja', 'város', 'Bács-Kiskun', 'Bajai', '17789', '33364', '17327'),
('129', 'Bajánsenye', 'község', 'Vas', 'Körmendi', '2185', '473', '245'),
('130', 'Bajna', 'község', 'Komárom-Esztergom', 'Esztergomi', '3726', '1840', '785'),
('131', 'Bajót', 'község', 'Komárom-Esztergom', 'Esztergomi', '1644', '1740', '561'),
('132', 'Bak', 'község', 'Zala', 'Zalaegerszegi', '2305', '1589', '587'),
('133', 'Bakháza', 'község', 'Somogy', 'Nagyatádi', '592', '142', '85'),
('134', 'Bakóca', 'község', 'Baranya', 'Hegyháti', '1065', '251', '134'),
('135', 'Bakonszeg', 'község', 'Hajdú-Bihar', 'Berettyóújfalui', '3503', '1156', '575'),
('136', 'Bakonya', 'község', 'Baranya', 'Pécsi', '1507', '336', '142'),
('137', 'Bakonybánk', 'község', 'Komárom-Esztergom', 'Kisbéri', '1506', '375', '215'),
('138', 'Bakonybél', 'község', 'Veszprém', 'Zirci', '2436', '1219', '574'),
('139', 'Bakonycsernye', 'nagyközség', 'Fejér', 'Móri', '3813', '3020', '1212'),
('140', 'Bakonygyirót', 'község', 'Gyõr-Moson-Sopron', 'Pannonhalmi', '685', '175', '117'),
('141', 'Bakonyjákó', 'község', 'Veszprém', 'Pápai', '4718', '699', '259'),
('142', 'Bakonykoppány', 'község', 'Veszprém', 'Pápai', '683', '192', '116'),
('143', 'Bakonykúti', 'község', 'Fejér', 'Székesfehérvári', '1245', '164', '78'),
('144', 'Bakonynána', 'község', 'Veszprém', 'Zirci', '1493', '1001', '382'),
('145', 'Bakonyoszlop', 'község', 'Veszprém', 'Zirci', '1420', '435', '208'),
('146', 'Bakonypéterd', 'község', 'Gyõr-Moson-Sopron', 'Pannonhalmi', '1002', '286', '124'),
